Movie/Content Name,S.No.,Movie /Content (Original Language),Language,Type of Content,Availability,Col B&W,Year  30,No. of Episodes,Length,Resolution,CC Grade,Content Owner 1,Content Owner 2,Content Owner 3,Commence Date,Expiry Date,Genre   101,Director 99,Star Cast  18,Music Director  229,Lyricist  380,Singer   437,Agreement Status,Format,Audio bitrate,Audio codec,Video bitrate,Video codec,Path,-,Size_MB,Framerate_fps
27th December 1987 Final Match (2016),,,Hindi,Movie,Yes,COL,2016.0,,01:59:31,1920*1080,,Ultra Cable,,,2026-04-01,2027-03-31,Mistrey,Santosh Badal,"Alok Kumar, Jyoti, Manoj Manav, Ravi Khandelwal",Jayant M Aryan,,"Aishwarya Nigam,Ritu Pathak,Aalok Kumar,Suwarna",Yes,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\27th December 1987 Final Match (2016)\27th December 1987 Final Match (2016).mp4,,1869.09,25.0
3 Bachelors (2012),,,,,,,,,01:37:37,1920*1080,,,,,,,,,,,,,,MPEG-4,317 kbps,AAC LC,21038 kbps,AVC,U:\MOVIE MASTER\3 Bachelors (2012)\3 Bachelors (2012).mp4,,14914.02,24.0
3 Deewarein (2003),,,Hindi,Movie,Yes,COL,2003.0,,02:00:46,1920*1080,V/U,Shemaroo,,,2026-04-01,2027-03-31,Drama,Nagesh Kukunoor,"Juhi Chawla,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Gulshan Grover,Ranganath And Sujata Mehta",Salim–Sulaiman,,,Yes,MPEG-4,126 kbps,AAC LC,1216 kbps,AVC,U:\MOVIE MASTER\3 Deewarein (2003)\3 Deewarein (2003).mp4,,1012.54,25.0
36 Ghante (1974),,,Hindi,Movie,Yes,COL,1974.0,,0.0904976851851852,720*464,U,Shemaroo,,,2026-04-01,2027-03-31,Thriller,Raj Tilak,,Sapan Chakravorty,Sahir Ludhianvi,"Asha Bhosle, Kishore Kumar,Mahendra Kapoor,Kishore Kumar,Mukesh",Yes,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\36 Ghante (1974)\36 Ghante (1974).mp4,,1338.37,25.0
3g - A Killer Connection (2013),,,,,,,,,02:03:26,1920*1080,,,,,,,,,,,,,,MPEG-TS,192 kbps,AAC LC,5736 kbps,AVC,U:\MOVIE MASTER\3G - A Killer Connection (2013)\3g - A Killer Connection (2013).ts,,5592.87,
5 Ghante Me 5 Crores (2012),,,,,,,,,01:47:22,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1905 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\5 Ghante Me 5 Crores (2012)\5 Ghante Me 5 Crores (2012).mp4,,1565.97,25.0
5 Rifles (1974),,,,,,,,,02:22:06,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2227 kbps,AVC,U:\MOVIE MASTER\5 Rifles (1974)\5 Rifles (1974).mp4,,2397.0,25.0
50 Lakh (2007),,,Hindi,Movie,Yes,COL,2007.0,,02:00:09,1920*1080,V/U,Shemaroo,,,2026-04-01,2027-03-31,"Comedy,Thriller",Chandra Sekhar Yeleti,,Hanif Sumra ,,"Aryan, Kunal Ganjawala, Hanif Sumra",Yes,MPEG-4,96 kbps,AAC LC,417 kbps,AVC,U:\MOVIE MASTER\50 Lakh (2007)\50 Lakh (2007).mp4,,367.4,25.0
706  (2019),,,Hindi,Movie,Yes,COL,2019.0,,01:57:53,1920*1080,,Ultra Cable,,,2026-04-01,2027-03-31,"Horror,Thriller",Sandip Patel,"Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam Ojha, Rayo Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajeev Pathak",Aniket Khandekar,Milind Gadhavi,Prathaa Khandekar,Yes,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\706 (2019)\706 (2019).mp4,,4983.8,
8 X 10 Tasveer (2009),,,Hindi,Movie,Yes,COL,2009.0,,01:58:24,1920*1080,U,Shemaroo,,,2026-04-01,2027-03-31,Action thriller,Nagesh Kukunoor,"Akshay Kumar, Ayesha Takia, Sharmila Tagore, Javed Jaffrey","Salim Merchant, Sulaiman Merchant, Neeraj Shridhar, Bohemia","Bohemia, Irfan Siddique, Sameer","Bohemia, Mohit Chauhan, Neeraj Shridhar, Tulsi Kumar, Vishal Dadlani",Yes,MPEG-PS,224 kbps,MPA1L2,14718 kbps,MPEG-2V,U:\MOVIE MASTER\8 X 10 Tasveer (2009)\8 X 10 Tasveer (2009).mpg,,13014.04,25.0
88 Antop Hill  (2003),,,Hindi,Movie,Yes,COL,2003.0,,0.086412037037037,640*276,,Ultra Cable,,,2026-04-01,2027-03-31,"Mystery, Thriller, Drama",Kushan Nandy,"Rahul Dev, Atul Kulkarni, Shweta Menon, Subrat Dutta, Jasmine D'Souza, Suchitra Pillai Etc, Harsh Khurana",Rajesh Roy,"Ravi Basnet, Rajesh Roy, Ehsaas","Nihira Joshi, Pritha Majumdar, Kaushik Paul, Debojit Saha, Rajesh Roy, Rana Mazumder, Deepali Somaiya, Manuj Bhaskar, Sharmila Vora",Yes,,,,,,,,,
88 Antop Hill (2003),,,,,,,,,02:06:34,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2855 kbps,AVC,U:\MOVIE MASTER\88 Antop Hill (2003)\88 Antop Hill (2003).mp4,,2705.82,25.0
A Death In The Gunj (2016),,,,,,,,,01:53:32,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1107 kbps,AVC,U:\MOVIE MASTER\A Death In The Gunj (2016)\A Death In The Gunj (2016).mp4,,1008.03,25.0
A Drama Company Chal Guru Hojaa Shuru (2015),,,,,,,,,01:48:48,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1839 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\A Drama Company Chal Guru Hojaa Shuru (2015)\A Drama Company Chal Guru Hojaa Shuru (2015).mp4,,1536.18,25.0
A Gift Of Love - Sifar  (2019),,,Hindi,Movie,Yes,COL,2019.0,,01:37:56,1920*1080,,Ultra Cable,,,2026-04-01,2027-03-31,Romantic Drama,Dhruv Sachdev,"Sudha Chandran, Anang Desai, Kanikka Kapur, Varun Narula Etc",,,,Yes,,,,,,,,,
A Gift Of Love - Sifar (2019),,,,,,,,,01:38:13,1920*1080,,,,,,,,,,,,,,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\A Gift of Love - Sifar (2019)\A Gift Of Love - Sifar (2019).mp4,,477.21,
A Journey Of Samyak Buddha  (2013),,,Hindi,Movie,Yes,COL,2013.0,,02:00:57,1920*1080,,Cable Master,,,2026-04-01,2027-03-31,Drama,Praveen Damle,,Praveen Damle,Praveen Damle,"Anilkumar Khobragade, Shishir Parkhi, Buddharatna Lihitkar, Rahul Ekbote",Yes,,,,,,,,,
A Journey Of Samyak Buddha (2013),,,,,,,,,02:00:57,1920*1080,,,,,,,,,,,,,,MPEG-4,317 kbps,AAC LC,9860 kbps,AVC,U:\MOVIE MASTER\A Journey Of Samyak Buddha (2013)\A Journey Of Samyak Buddha (2013).mp4,,8807.95,25.0
A.K. - 56 The Ultimate Warrior (2013),,,,,,,,,02:18:06,1280*720,,,,,,,,,,,,,,MPEG-4,317 kbps,AAC LC,10000 kbps,AVC,U:\MOVIE MASTER\A.K. - 56 The Ultimate Warrior (2013)\A.K. - 56 The Ultimate Warrior (2013).mp4,,10195.3,25.0
A.R.M (2024),,,,,,,,,02:00:01,3840*2160,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,4249 kbps,av01,U:\MOVIE MASTER\A.R.M (2024)\A.R.M (2024).mp4,,3761.97,25.0
ARM  (2024),,,Hindi Dubed,Movie,Yes,COL,2024.0,,,,,Eagle,,,2026-04-01,2027-03-31,Action Adventure fantasy,Jithin Laal,"Tovino Thomas, Krithi Shetty, Aishwarya Rajesh, Surabhi Lakshmi, Basil Joseph",Dhibu Ninan Thomas,Vikram Edke,"K.S. Harisankar, Anila Rajeev, and Vaikom Vijayalakshmi.",Yes,,,,,,,,,
Aa Dekhen Zara (2009),,,,,,,,,01:57:12,1920*1080,,,,,,,,,,,,,,MPEG-TS,192 kbps,AAC LC,5736 kbps,AVC,U:\MOVIE MASTER\Aa Dekhen Zara (2009)\Aa Dekhen Zara (2009).ts,,5378.73,
Aaaj Ki Aurat (1993),,,Hindi,Movie,Yes,COL,1993.0,,,,,Cable Master,,,2026-04-01,2027-03-31,"Action,Drama",Avtar Bhogal,"Jeetendra, Dimple Kapadia, Sujata Mehta, Sadashiv Amrapurkar, Anupam Kher, Dimpy…",Bappi Lahiri,,"Kavita Krishnamoorty,Reema Dasgupta,Kumar Shanu",Yes,,,,,,,,,
Aabroo (1968),,,Hindi,Movie,Yes,COL,1968.0,,02:38:43,640*480,,Cable Master,,,2026-04-01,2027-03-31,"Comedy,Crime,Drama",C L Rawal,"Ashok Kumar, Deepak Kumar, Vimi, Rehman, Shashikala, Lalita Pawar, Nirupa Roy, Jeevan, Leela Naidu, Mukri, Sunder, Tun Tun...",Omi Sonik,G L Rawal,"Asha Bhosle, Mohammed Rafi, Mukesh",Yes,MPEG-4,128 kbps,AAC LC,1496 kbps,AVC,U:\MOVIE MASTER\Aabroo (1968)\Aabroo (1968).mp4,,1835.7,25.0
Aadat Se Majboor (1982),,,,,,,,,02:10:30,1920*1080,,,,,,,,,,,,,,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\Aadat Se Majboor (1982)\Aadat Se Majboor (1982).mp4,,1477.41,25.0
Aadha Din Aadhi Raat (1977),,,,,,,,,02:19:22,3840*2160,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,5199 kbps,av01,U:\MOVIE MASTER\Aadha Din Aadhi Raat (1977)\Aadha Din Aadhi Raat (1977).mp4,,5317.47,25.0
Aadhi Raat Ke Baad (1965),,,,,,,,,02:17:10,1280*720,,,,,,,,,,,,,,MPEG-4,126 kbps,AAC LC,1366 kbps,AVC,U:\MOVIE MASTER\Aadhi Raat Ke Baad (1965)\Aadhi Raat Ke Baad (1965).mp4,,1466.66,25.0
Aadhinath Ek Yodha Ki Jung,,Aathi (Tamil),Hindi Dubed,Movie,Yes,COL,2024.0,,02:34:32,640*360,,Eagle,,,2026-04-01,2027-03-31,Action,Ramana,"Vijay, Trisha, Prakash Raj, Sai Kumar, Adithya Menon",Vidyasagar,,,Yes,Matroska,,AAC LC-SBR,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Aadhinath Ek Yodha Ki Jung\Aadhinath Ek Yodha Ki Jung.mp4,,396.21,25.0
Aadmi  Aur Insaan (1969),,,Hindi,Movie,Yes,COL,1969.0,,,,U,Cable Master,,,2026-04-01,2027-03-31,"Thriller,Romance",Yash Chopra,,Ravi,Ravi,"Asha Bhosle, Mohammed Rafi, Mahendra Kapoor, Joginder, S. Balbir",Yes,,,,,,,,,
Aadmi (1968),,,,,,,,,02:45:21,720*480,,,,,,,,,,,,,,MPEG-4,160 kbps,AAC LC,3283 kbps,AVC,U:\MOVIE MASTER\Aadmi (1968)\Aadmi (1968).mp4,,4081.68,23.976
Aadmi (1993),,,,,,,,,02:18:44,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1622 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\Aadmi (1993)\Aadmi (1993).mp4,,1743.27,25.0
Aadmi Aur Insaan (1969),,,,,,,,,02:38:51,1920*1080,,,,,,,,,,,,,,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\Aadmi Aur Insaan (1969)\Aadmi Aur Insaan (1969).mp4,,1256.03,29.014
Aadmi Sadak Ka (1977),,,Hindi,Movie,Yes,COL,1977.0,,0.107291666666667,1502*1080,,Ultra Cable,,,2026-04-01,2027-03-31,Drama / Family Drama,Devendra Goel,"SHATRUGHAN SINHA, VIKRAM, ZAHEERA, DEVEN VERMA, SUJIT KUMAR, PALLAVI JOSHI, PINCHOO KAPOOR Asit Sen, Agha",Ravi (Ravi Shankar Sharma),Verma Malik,"Mohammed Rafi, Asha Bhosle, Anuradha Paudwal, Deven Verma, Ravi",Yes,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\Aadmi Sadak Ka (1977)\Aadmi Sadak Ka (1977).mp4,,3256.9,24.194
Aafat  (1977),,,Hindi,Movie,Yes,COL,1977.0,,02:12:32,640*480,U,Cable Master,,,2026-04-01,2027-03-31,"Crime , Drama",Atma Ram,"Navin Nishcol, Leena Chandawakar, Mehmood, Jayashri T….",Nit N Mangesh,Maya Govind,"Anjali Ram, Anjali Ram, Mehmood, Kishore Kumar, Usha Mangeshkar, Lata Mangeshkar",Yes,,,,,,,,,
Aafat (1977),,,,,,,,,02:13:06,600*480,,,,,,,,,,,,,,Matroska,,AAC LC,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Aafat (1977)\Aafat (1977).mp4,,430.12,25.0
Aag (1994),,,Hindi,Movie,Yes,COL,1994.0,,0.105185185185185,1920*1080,V/U,Shemaroo,,,2026-04-01,2027-03-31,Romance,K. Ravi Shankar,"Shilpa Shetty, Govinda, Sonali Bendre",Dilip Sen Sameer Sen,Sameer,"Kumar Sanu, Alka Yagnik, Hariharan, Sudesh Bhosle",Yes,MPEG-PS,224 kbps,MPA1L2,15000 kbps,MPEG-2V,U:\MOVIE MASTER\Aag (1994)\Aag (1994).mpg,,16698.02,25.0
Aag Aandhi Aur Toofan (1994),,,Hindi,Movie,Yes,COL,1994.0,,0.0851388888888889,1280*720,A,Cable Master,,,2026-04-01,2027-03-31,"Action, Thriller",Kanti Shah,"Mukesh Khanna, Kiran Kumar, Joginder, Upasana Singh, Sabnam, Meena Singh, Sanjeevani Bidkar, Sameer, Amit, Ashok Raj, Jugraj, Shamshu Din, Rajak Khan & Randhir Singh","N.K,Nandan","N.K,Nandan",,Yes,MPEG-4,128 kbps,AAC LC,700 kbps,AVC,U:\MOVIE MASTER\Aag Aandhi Aur Toofan (1994)\Aag Aandhi Aur Toofan (1994).mp4,,590.54,24.0
Aag Aur Daag  (1970),,,Hindi,Movie,Yes,COL,1970.0,,02:17:09,1920*1080,U,Shemaroo,,,2026-04-01,2027-03-31,Action,A. Salaam,"Joy Mukherjee, Komal, Jayant, Madan Puri, Helen, And Others, , ,",N Dutta,"Noor Devasi, S H Bihari","Mohammed Rafi, Asha Bhosle",Yes,,,,,,,,,
Aag Aur Daag (1970),,,,,,,,,02:17:09,1920*1080,,,,,,,,,,,,,,MPEG-4,126 kbps,AAC LC,3335 kbps,AVC,U:\MOVIE MASTER\Aag Aur Daag (1970)\Aag Aur Daag (1970).mp4,,3398.52,25.0
Aag Aur Shola (1986),,,,,,,,,02:27:56,720*576,,,,,,,,,,,,,,MPEG-PS,224 kbps,MPA1L2,8410 kbps,MPEG-2V,U:\MOVIE MASTER\Aag Aur Shola (1986)\Aag Aur Shola (1986).mpg,,9321.7,25.0
Aag Hi Aag (1987),,,Hindi,Movie,Yes,COL,1987.0,,0.115891203703704,1920*800,U/A,Ultra Cable,,,2026-04-01,2027-03-31,Action,Shibu Mitra,"Dharmendra, Moushmi Chatterjee, Chunky Pandey, Shatrughan Sinha, Gulshan Grover, Shakti Kapoor, Danny Denzongpa, Richa, Vinod Mehra, Neelam Kothari, Mac Mohan, Ghanshyam, Pinchoo Kapoor, Satish Kaul, Jagdish Raj, Om Shiv Puri, Gita Siddharth, Tej Sapru, Yunus Parvez, Anirudh Agarwal",Bappi Lahiri,Bappi Lahiri,"Asha Bhosle, Lata Mangeshkar, Meghana, Shailendra Singh, Shabbir Kumar",Yes,MPEG-TS,48 kbps,AAC LC,1307 kbps,AVC,U:\MOVIE MASTER\Aag Hi Aag (1987)\Aag Hi Aag (1987).ts,,1746.16,
Aag Ka Dariya - The Sea Of Fire (2009),,,,,,,,,02:02:26,1280*720,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1815 kbps,AVC,U:\MOVIE MASTER\Aag Ka Dariya - The Sea of Fire {Chess} (2009)\Aag Ka Dariya - The Sea Of Fire {Chess} (2009).mp4,,1704.51,25.0
Aag Ka Dariya - The Sea of Fire {Chess} (2009),,(Chess Malayalam),Hindi Dubed,Movie,Yes,COL,2009.0,,,,V/U,Ultra Cable,,,2026-04-01,2027-03-31,"Action, Thriller",Raja Babu,"Dilip, Bhavna, Ashish Vidhyarthi",Rupjit Das,Rupjit Das,,Yes,,,,,,,,,
Aag Ka Gola (1990),,,Hindi,Movie,Yes,COL,1990.0,,02:17:31,1280*720,U,Ultra Cable,,,2026-04-01,2027-03-31,"Action,Drama",David Dhawan,"Sunny Deol, Dimple Kapadia, Archana Puran Singh, Shakti Kapoor, Prem Chopra, Chunky Pandey, Anjana Mumtaz, Shammi Kapoor",Bappi Lahiri,Bappi Lahiri,"Asha Bhosle, Mohammed Aziz, Shabbir Kumar, Amit Kumar, S Janaki",Yes,MPEG-4,128 kbps,AAC LC,562 kbps,AVC,U:\MOVIE MASTER\Aag Ka Gola (1990)\Aag Ka Gola (1990).mp4,,682.49,25.0
Aag Ke Sholay (1988),,,Hindi,Movie,Yes,COL,1988.0,,01:57:04,1920*816,V/U,Shemaroo,,,2026-04-01,2027-03-31,"Action, Thriller",S R Pratap,"Hemant Birje, Sri Prada, Sumeet Sehgal, Vijeyta Pandit, Rashmi Inder, Gulshan Grover",Vijay,Khalid,"Mohammad Aziz, Amit Kumar, Alka Yagnik, Shabbir Kumar, Anuradha Paudwal, Vijeta Pandit",Yes,MPEG-4,126 kbps,AAC LC,918 kbps,AVC,U:\MOVIE MASTER\Aag Ke Sholay (1988)\Aag Ke Sholay (1988).MP4,,1008.34,25.0
Aag Se Khelenge (1989),,,Hindi,Movie,Yes,COL,1989.0,,02:08:22,1920*1080,U/A,Shemaroo,,,2026-04-01,2027-03-31,"Action,Thriller",Bhaskar Shetty,"Jeetendra, Anil Kapoor, Meenakshi Seshadri, Kimi Katkar, Amrish Puri, Shakti Kapoor, Vikas Anand, Archana Joglekar, Satish Kaushik, Raj Kiran, Jaya Mathur, Sharat Saxena, Sarla Yogelkar, Baby Guddo, Babban Yadav",R D Burman,Anand Bakshi,"Asha Bhosle, Amit Kumar, Mohammed Aziz, Udit Narayan, Kavita Krishnamurthy",Yes,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\Aag Se Khelenge (1989)\Aag Se Khelenge (1989).mkv,,941.42,25.0
Aage Badho (1973),,,Hindi,Movie,Yes,COL,1973.0,,01:59:06,1280*720,U,Ultra Cable,,,2026-04-01,2027-03-31,"Action ,Comedy,Romance",I S Johar,"Rajeev Johar, Ambika Johar, Bhagwan, Tun Tun, I.S. Johar, , ,","Kalyanji , Anandji Shah","Kalyanji , Anandji Shah","Asha Bhosle,Mahendra Kapoor,Mahendra Kapoor,Kishore Kumar,Lata Mangeshkar,Usha Mangeshkar",Yes,MPEG-4,128 kbps,AAC LC,975 kbps,AVC,U:\MOVIE MASTER\Aage Badho (1973)\Aage Badho (1973).MP4,,942.81,25.0
Aaj Aur Kal (1963),,,Hindi,Movie,Yes,B&W,1963.0,,02:24:18,1920*1080,U,Shemaroo,,,2026-04-01,2027-03-31,Family Drama,Vasant Joglekar,"Sunil Dutt, Nanda, Ashok Kumar, Raaj Kumar, Tanuja, Soodesh Kumar, Deven Verma",Ravi,Sahir Ludhianvi,"Mohammed Rafi, Asha Bhosle, Mahendra Kapoor, Geeta Dutt, Manna Dey",Yes,,,,,,,,,
Aaj Aur Kal (1963) New,,,,,,,,,02:24:27,1920*1080,,,,,,,,,,,,,,MPEG-4,317 kbps,AAC LC,10449 kbps,AVC,U:\MOVIE MASTER\Aaj Aur Kal (1963)\Aaj Aur Kal (1963) New.mp4,,11127.68,25.0
Aaj Isko Kal Tere Ko Chot (2004),,,HINDI,Movie,Yes,COL,2004.0,,02:18:53,1920*1080,A,Shemaroo,,,2026-04-01,2027-03-31,crime thriller,Nabh Kumar Raju,"Rohit, Jessy Randhawa, Ashutosh Rana, Sharad Kapoor, Nethra Raghuraman, Rajkumar Kanojia","Bobby Singh, Raju Singh",Sudhakar Sharma,"Adnan Sami, Sunidhi Chauhan, Amit Kumar, Javed Khan, Richa Sharma, Sunil Chhaila Bihari, Shreya Ghoshal, Sonu Nigam, Pankaj Udhas, Vinod Rathod",Yes,MPEG-4,128 kbps,AAC LC,1719 kbps,AVC,U:\MOVIE MASTER\Aaj Isko Kal Tere Ko Chot (2004)\Aaj Isko Kal Tere Ko Chot (2004).mp4,,1841.15,25.0
Aaj Ka  Daur (1985),,,,,,,,,02:33:02,720*576,,,,,,,,,,,,,,MPEG-PS,224 kbps,MPA1L2,10000 kbps,MPEG-2V,U:\MOVIE MASTER\Aaj Ka Daur (1985)\Aaj Ka  Daur (1985).mpg,,11466.82,25.0
Aaj Ka Badshah  (2008),,Pape Naa Pranam South,,,,,,,01:48:27,1280*490,,,,,,,,,,,,,,MPEG-4,140 kbps,AAC LC,1915 kbps,AVC,U:\MOVIE MASTER\Aaj Ka Badshah (2008)\Aaj Ka Badshah {Pape Naa Pranam} (2008) (South).mp4,,1596.97,25.0
Aaj Ka Badshah (2008),,,Hindi Dubed,Movie,Yes,COL,2008.0,,01:18:17,,,Eagle,,,2026-04-01,2027-03-31,Action,Bhargavan,"Santosh, Ankitha, Sundar, Sunil, Suman Vaitla, Tejashree",Rishikant Deva,,,Yes,,,,,,,,,
Aaj Ka Data (2006),,,Hindi Dubed,Movie,Yes,COL,2006.0,,02:25:26,1920*1080,,Eagle,,,2026-04-01,2027-03-31,"Action, Drama, Comedy",Chi Gurudutt,"Darshan, Ramya, Keerthi Chawla, Komal Kumar, Srinath, Vinaya Prasad, Avinash",R. P. Patnaik,"V. Nagendra Prasad, K. Kalyan, R. N. Jayagopal",,Yes,Matroska,,AAC LC-SBR,,V_VP9,U:\MOVIE MASTER\Aaj Ka Data (2006)\Aaj Ka Data (2006).mp4,,1537.57,25.0
Aaj Ka Gang Leader (1993),,JEBU DONGA (TAMIL),Hindi Dubed,Movie,Yes,COL,1993.0,,02:11:24,384*288,U,Shemaroo,,,2026-04-01,2027-03-31,"Action, Crime, Comedy",A. Kodandarami Reddy,"CHIRANJEEVI, BHANUPRIYA, RADHA, Raghuvaran AND OTHERS",K. Chakravarthy,,,Yes,Matroska,,AAC LC,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Aaj Ka Gang Leader (1993)\Aaj Ka Gang Leader (1993).mkv,,465.88,29.97
Aaj Ka Goonda Raaj (1992),, south,Hindi Dubed,Movie,Yes,COL,1992.0,,02:39:58,640*270,,Eagle,,,2026-04-01,2027-03-31,"Action, Crime, Thriller, Drama",Ravi Raja Pinisetty,"Chiranjeevi, Meenakshi Sheshadri, Raj Babbar, Dalip Tahil, Sharat Saxena, Parikshit Sahni, Prem Chopra, Tinnu Anand, Satish Shah",Anand–Milind,Sameer,"Kumar Sanu, Alka Yagnik, Abhijeet Bhattacharya, Sadhana Sargam, Amit Kumar",Yes,MPEG-TS,,AAC LC,,AVC,U:\MOVIE MASTER\Aaj Ka Goonda Raaj (1992)\Aaj Ka Goonda Raaj (1992) (south).ts,,5113.46,25.0
Aaj Ka Inquilaab (2009),,Nenu Saitham,,,,,,,01:49:09,1280*720,,,,,,,,,,,,,,MPEG-4,317 kbps,AAC LC,10000 kbps,AVC,U:\MOVIE MASTER\Aaj Ka Inquilaab {Nenu Saitham} (2009)\Aaj Ka Inquilaab {Nenu Saitham} (2009).mp4,,8058.41,25.0
